"nume","inceput","sfarsit","partid"
"Adrian Gurzău","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Adrian Mocanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adrian Solomon","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adriana Diana Tuşa","2012-12-19","2013-06-04","Grupul parlamentar al Partidului Național Liberal"
"Adriana-Doina Pană","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adrian-Alin Petrache","2012-12-19","2014-06-11","Grupul parlamentar al Partidului Social Democrat"
"Adrian Constantin Simionescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Adrian George Scutaru","2012-12-19","2014-12-19","Grupul parlamentar al Partidului Național Liberal"
"Adrian-Miroslav Merka","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Adrian-Nicolae Diaconu","2012-12-19","2014-05-27","Grupul parlamentar Democrat şi Popular"
"Alexandri Nicolae","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Național Liberal"
"Alexandru Nazare","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Alexandru Stănescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Alina-Ştefania Gorghiu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Alin Augustin Florin Popoviciu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Ana Birchall","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"András-Levente Máté","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Andrei Dolineaschi","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Andrei Dominic Gerea","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Național Liberal"
"Andrei-Răzvan Condurățeanu","2012-12-19","2013-12-17","Grupul parlamentar Democrat şi Popular"
"Andrei-Valentin Sava","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Angel Tîlvăr","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Anghel Stanciu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Anton Doboş","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Árpád-Francisc Márton","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Atilla-Béla-László Kelemen","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Attila Korodi","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Attila-Gabor Markó","2012-12-19","2015-04-01","Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Attila-Zoltán Cseke","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Aurel Nechita","2012-12-19","2013-06-04","Grupul parlamentar al Partidului Social Democrat"
"Aurel Niculae","2012-12-19","2014-04-07","Grupul parlamentar al Partidului Național Liberal"
"Aurel Vainer","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Aurel Vlădoiu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Aurelia Cristea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Aurelian Ionescu","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Aurelian Mihai","2012-12-19","2013-05-21","Grupul parlamentar Democrat şi Popular"
"Bogdan Nicolae Niculescu Duvăz","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Călin Potor","2012-12-19","2014-03-18","Grupul parlamentar al Partidului Național Liberal"
"Călin-Vasile-Andrei Matei","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Camelia Khraibani","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Camelia-Margareta Bogdănici","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Carmen Ileana Moldovan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cătălin Tiuch","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cătălin-Daniel Fenechiu","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Cătălin-Florin Teodorescu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Cătălin-Marian Rădulescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cezar Cioată","2012-12-19","2013-02-04","Grupul parlamentar Democrat şi Popular"
"Cezar-Florin Preda","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Claudia Boghicevici","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Claudiu-Andrei Tănăsescu","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Clement Negruț","2012-12-19","2013-09-02","Grupul parlamentar al Partidului Democrat Liberal"
"Constantin Adăscăliței","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Constantin Avram","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Constantin Dascălu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Constantin Galan","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Național Liberal"
"Constantin Mazilu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Constantin Moisii","2012-12-19","2014-03-03","Grupul parlamentar Democrat şi Popular"
"Constantin Niță","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Constantin Rădulescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Constantin-Alin Bucur","2012-12-19","2013-04-15","Grupul parlamentar Democrat şi Popular"
"Constantin-Cosmin Enea","2012-12-19","2014-03-31","Grupul parlamentar al Partidului Național Liberal"
"Constantin-Stelian-Emil Moț","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cornel Itu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cornel-Cristian Resmeriță","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cornel-George Comşa","2012-12-19","2014-03-31","Grupul parlamentar Democrat şi Popular"
"Cornelia Negruț","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Corneliu-Florin Buicu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Corneliu-Mugurel Cozmanciuc","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Cornel-Mircea Sămărtinean","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Cosmin Necula","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Costel Alexe","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Costel Şoptică","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Costică Canacheu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Cristian Buican","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Cristian Rizea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cristian-Constantin Roman","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Cristian-George Sefer","2012-12-19","2014-09-06","Grupul parlamentar Democrat şi Popular"
"Cristina Nichita","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Cristina-Ancuța Pocora","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Damian Florea","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Dan Bordeianu","2012-12-19","2014-11-18","Grupul parlamentar al Partidului Național Liberal"
"Dan Ciocan","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Dan Nica","2012-12-19","2014-06-23","Grupul parlamentar al Partidului Social Democrat"
"Dan Coriolan Simedru","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Dan-Cristian Popescu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Daniel Chițoiu","2012-12-19","2014-07-02","Grupul parlamentar al Partidului Național Liberal"
"Daniel Constantin","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Daniel Florea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Daniel Iane","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Daniel Tudorache","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Daniel-Cătălin Zamfir","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Daniel-Ionuț Bărbulescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Daniel-Stamate Budurescu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Daniel Vasile Oajdea","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Dan-Laurențiu Tocuț","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Național Liberal"
"Dan Radu Ruşanu","2012-12-19","2013-04-29","Grupul parlamentar al Partidului Național Liberal"
"Dan-Ştefan Motreanu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Dănuț Culețu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Dénes Seres","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Dinu Giurescu","2012-12-19","2014-05-12","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Dorel Covaci","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Dorel-Gheorghe Căprar","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Dorinel Ursărescu","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Național Liberal"
"Dorin Silviu Petrea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Dragoş Gabriel Zisopol","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Dragoş-Ionel Gunia","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Dumitru Chiriță","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Social Democrat"
"Dumitru Niculescu","2012-12-19","2014-12-09","Grupul parlamentar Democrat şi Popular"
"Dumitru Pardău","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Dumitru-Iulian Popescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Dumitru-Verginel Gireadă","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Eduard Raul Hellvig","2012-12-19","2013-09-03","Grupul parlamentar al Partidului Național Liberal"
"Eduard-Stelian Martin","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Elena Cătălina Ştefănescu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Elena Gabriela Udrea","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Elena-Ramona Uioreanu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Eleonora-Carmen Hărău","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Emil Niță","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Erland Cocei","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Eugen Bejinariu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Eugen Chebac","2012-12-19","2013-09-30","Grupul parlamentar Democrat şi Popular"
"Eugen Nicolicea","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Eugen Tomac","2012-12-19","2013-09-02","Grupul parlamentar al Partidului Democrat Liberal"
"Eugen Constantin Uricec","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Eusebiu-Manea Pistru-Popa","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"Flavius-Luigi Măduța","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Florentin Gust Băloşin","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Social Democrat"
"Florian Nicolae","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Florian Daniel Geantă","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Florica Cherecheş","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Florică Ică Calotă","2012-12-19","2014-09-01","Grupul parlamentar al Partidului Național Liberal"
"Florin Ciurariu","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Florin Gheorghe","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Florin Iordache","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Florin-Alexandru Alexe","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Florin Aurelian Popescu","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Florin-Costin Pâslaru","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Florin-Cristian Tătaru","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Florin Mihail Secară","2012-12-19","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal"
"Gábor Kereskényi","2012-12-19",,"Grupul parlamentar al Uniunii Democrate Maghiare din România"
"Gabriel Andronache","2012-12-19","2013-05-21","Grupul parlamentar al Partidului Democrat Liberal"
"Gabriela-Lola Anghel","2012-12-19",,"Grupul parlamentar Democrat şi Popular"
"Gabriela-Maria Podaşcă","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gavril Mîrza","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"George Becali","2012-12-19","2013-05-20","Grupul parlamentar al Partidului Național Liberal"
"George Ionescu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
"George Scarlat","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Georgian Pop","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Georgică Dumitru","2012-12-19",,"Grupul parlamentar Liberal Conservator (PC-PLR)"
"Gheorghe Ciobanu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Coman","2012-12-19","2013-03-26","Grupul parlamentar Democrat şi Popular"
"Gheorghe Costin","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Gheorghe Dragomir","2012-12-19",,"Grupul parlamentar al Partidului Național Liberal"
"Gheorghe Emacu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Firczak","2012-12-19",,"Grupul parlamentar al minorităților naționale"
"Gheorghe Frăticiu","2012-12-19",,"Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Ialomițianu","2012-12-19","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal"
