81763.02,
79317.02,GJ-I-s-B-09127
78917.01,
79718.01,
100558.01,
114523.03,MS-I-s-A-15428
119938.02,MS-I-s-B-15398
104172.01,GR-I-s-A-14816
100530.01,GR-I-s-A-14756
54289.01,CS-I-s-A-10885
47863.01,
46858.02,BZ-I-s-B-02277
45469.02,BZ-I-s-B-02284
45469.03,BZ-I-s-B-02284
50497.02,BZ-I-s-B-02221
47532.01,BZ-I-s-B-02253
45469.04,BZ-I-s-B02284
47480.02,
48539.05,BZ-I-s-B-02262
49901.02,BZ-I-m-B-02295.01
47890.02,BZ-I-s-B-02270
48539.02,BZ-I-s-B-02262
47514.04,BZ-I-s-B-02237
48539.04,BZ-I-s-B-02262
48478.02,BZ-I-s-B-02303
47514.05,BZ-I-s-B-02237
48539.03,BZ-I-s-B-02262
48450.01,BZ-I-s-B-02300
47514.03,BZ-I-s-B-02237
48496.02,BZ-I-s-B-02262
50031.02,BZ-I-s-B-02302
47514.02,BZ-I-s-B-02237
48496.03,BZ-I-s-B-02262
50031.04,BZ-I-s-B-02302
47514.01,BZ-I-s-B-02237
48496.01,BZ-I-s-B-02262
50031.01,BZ-I-s-B-02302
47532.05,BZ-I-s-B-02253
48496.07,BZ-I-s-B-02265
50219.02,BZ-I-s-B-02309
47532.03,BZ-I-s-B-02253
86829.01,
87905.02,
90397.01,HD-I-s-A-03190
90609.01,HD-I-s-A-03202
90422.01,
124091.01,NT-I-s-B-10506
122917.01,NT-I-s-B-10507
122427.01,NT-I-s-B-10508
120815.02,
121206.01,NT-I-s-B-10511
121206.02,NT-I-s-B-10512
121206.03,NT-I-s-B-10513
120815.01,NT-I-s-B-10514
121769.01,NT-I-s-B-10516
122178.01,NT-I-s-B-10517
179132.39,B-I-s-B-17898
179132.40,B-I-s-B-17899
179132.41,B-I-s-B-17900
179132.42,B-I-s-B-17901
179132.43,B-I-s-B-17902
179132.44,B-I-s-B-17903
179132.45,B-I-s-A-17904
179132.46,B-I-s-B-17905
179132.47,B-I-s-B-17906
179132.48,B-I-s-B-17907
47532.02,BZ-I-s-B-02253
177959.01,VN-I-s-B-06384
175242.01,VN-I-s-B-06385
175028.01,VN-I-s-B-06386
176329.01,VN-I-s-B-06387
176524.01,VN-I-s-B-06390
175402.01,VN-I-s-B-06391
18876.01,AG-I-s-B-13352
14414.01,AG-I-s-A-13354
14469.01,AG-I-Im-A-13353
19356.01,AG-I-s-B-13355
19356.02,AG-II-a-A-13495
18055.01,AG-I-s-B-13358
15439.01,AG-I-a-A-13359
15411.02,AG-I-s-B-13360
13506.34,AG-I-s-B-13356
15858.01,AG-I-s-A-13361
16436.01,AG-I-s-A-13362
16463.01,AG-I-a-A-13363
15162.01,AG-I-s-B-13364
15000.01,AG-I-s-B-13365
16917.01,AG-I-s-A-13366
16392.01,AG-I-a-A-13368
16356.01,AG-I-s-A-13369
18171.01,AG-I-s-B-13370
17245.01,AG-I-s-A-13371
17897.01,AG-I-a-A-13373
17897.02,AG-I-s-A-13374
15180.01,AG-I-s-A-13372
18536.01,AG-I-s-A-13375
18581.01,AG-I-s-A-13376
18867.01,AG-I-s-A-13377
17414.01,AG-I-s-A-13378
17389.01,AG-I-s-A-13379
18518.01,AG-I-s-B-13380
